; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)
; - R800 instruction details obtained from here: https://www.msx.org/wiki/R800_Programming
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing MSX	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
OR (IY+o)	21	FD B6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
SBC A,(IX+o)	21	DD 9E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			true
SBC A,(IY+o)	21	FD 9E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			true
SUB (IX+o)	21	DD 96 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
SUB (IY+o)	21	FD 96 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
XOR (IX+o)	21	DD AE o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
XOR (IY+o)	21	FD AE o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
BIT b,(IX+o)	22	DD CB o 46+8*b	4	IX			IX+o		S,Z,H,P/V,N			true
BIT b,(IY+o)	22	FD CB o 46+8*b	4	IY			IY+o		S,Z,H,P/V,N			true
LD (IX+o),n	21	DD 36 o n	4	IX							IX+o	true
LD (IY+o),n	21	FD 36 o n	4	IY							IY+o	true
LD (nn),BC	22	ED 43 nn nn	4	BC							[nn:nn+1]	true
LD (nn),DE	22	ED 53 nn nn	4	DE							[nn:nn+1]	true
LD (nn),IX	22	DD 22 nn nn	4	IX							[nn:nn+1]	true
LD (nn),IY	22	FD 22 nn nn	4	IY							[nn:nn+1]	true
LD (nn),SP	22	ED 73 nn nn	4	SP							[nn:nn+1]	true
LD BC,(nn)	22	ED 4B nn nn	4				[nn:nn+1]	BC				true
LD DE,(nn)	22	ED 5B nn nn	4				[nn:nn+1]	DE				true
LD IX,(nn)	22	DD 2A nn nn	4				[nn:nn+1]	IX				true
LD IX,nn	16	DD 21 nn nn	4					IX				true
LD IY,(nn)	22	FD 2A nn nn	4				[nn:nn+1]	IY				true
LD IY,nn	16	FD 21 nn nn	4					IY				true
LD SP,(nn)	22	ED 7B nn nn	4				[nn:nn+1]	SP				true
RES b,(IX+o)	25	DD CB o 86+8*b	4	IX			IX+o				IX+o	true
RES b,(IY+o)	25	FD CB o 86+8*b	4	IY			IY+o				IY+o	true
RL (IX+o)	25	DD CB o 16	4	IX	C		IX+o		S,Z,H,P/V,N,C		IX+o	true
RL (IY+o)	25	FD CB o 16	4	IY	C		IY+o		S,Z,H,P/V,N,C		IY+o	true
RLC (IX+o)	25	DD CB o 06	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
RLC (IY+o)	25	FD CB o 06	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
RR (IX+o)	25	DD CB o 1E	4	IX	C		IX+o		S,Z,H,P/V,N,C		IX+o	true
RR (IY+o)	25	FD CB o 1E	4	IY	C		IY+o		S,Z,H,P/V,N,C		IY+o	true
RRC (IX+o)	25	DD CB o 0E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
RRC (IY+o)	25	FD CB o 0E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SET b,(IX+o)	25	DD CB o C6+8*b	4	IX			IX+o				IX+o	true
SET b,(IY+o)	25	FD CB o C6+8*b	4	IY			IY+o				IY+o	true
SLA (IX+o)	25	DD CB o 26	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLA (IY+o)	25	FD CB o 26	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SLA (IX+o)	25	DD CB o 36	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLA (IY+o)	25	FD CB o 36	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SLI (IX+o)	25	DD CB o 36	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLI (IY+o)	25	FD CB o 36	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SRA (IX+o)	25	DD CB o 2E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SRA (IY+o)	25	FD CB o 2E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SRL (IX+o)	25	DD CB o 3E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SRL (IY+o)	25	FD CB o 3E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
; Note: the timing of these r800 instructions is in r800 t-states.
MULUB A,B	14	ED C1	2	A,B				HL	S,Z,P/V,C			true
MULUB A,C	14	ED C9	2	A,C				HL	S,Z,P/V,C			true
MULUB A,D	14	ED D1	2	A,D				HL	S,Z,P/V,C			true
MULUB A,E	14	ED D9	2	A,E				HL	S,Z,P/V,C			true
MULUW HL,BC	36	ED C3	2	HL,BC				DE,HL	S,Z,P/V,C			true
MULUW HL,SP	36	ED F3	2	HL,SP				DE,HL	S,Z,P/V,C			true
; Unofficial alternative way to write some instructions that some assemblers support:
ADC (HL)	8	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			false
ADC r	5	88+r	1	A,r	C			A	S,Z,H,P/V,N,C			false
ADC n	8	CE n	2	A	C			A	S,Z,H,P/V,N,C			false
ADC (IX+o)	21	DD 8E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			false
ADC (IY+o)	21	FD 8E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			false
ADD r	5	80+r	1	A,r				A	S,Z,H,P/V,N,C			false
ADD (HL)	8	86	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
ADD IXp	10	DD 80+p	2	A,IXp				A	S,Z,H,P/V,N,C			false
ADD IYq	10	FD 80+q	2	A,IYq				A	S,Z,H,P/V,N,C			false
ADD n	8	C6 n	2	A				A	S,Z,H,P/V,N,C			false
ADD (IX+o)	21	DD 86 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
ADD (IY+o)	21	FD 86 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
AND A, n	8	E6 n	2	A				A	S,Z,H,P/V,N,C			false
AND A, (IX+o)	21	DD A6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
AND A, (IY+o)	21	FD A6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
AND A, (HL)	8	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
AND A, r	5	A0+r	1	A,r				A	S,Z,H,P/V,N,C			false
EX HL,DE	5	EB	1	DE,HL				DE,HL				false
OUT n,A	12	D3 n	2	A					S,Z,N	n		false
OR A, n	8	F6 n	2	A				A	S,Z,H,P/V,N,C			false
OR A, (IX+o)	21	DD B6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
OR A, (IY+o)	21	FD B6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
OR A, (HL)	8	B6	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
OR A, r	5	B0+r	1	A,r				A	S,Z,H,P/V,N,C			false
SBC (HL)	8	9E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			false
SBC A	5	98+7	1		C			A	S,Z,H,P/V,N,C			false
SBC B	5	98+0	1	A,B	C			A	S,Z,H,P/V,N,C			false
SBC C	5	98+1	1	A,C	C			A	S,Z,H,P/V,N,C			false
SBC D	5	98+2	1	A,D	C			A	S,Z,H,P/V,N,C			false
SBC E	5	98+3	1	A,E	C			A	S,Z,H,P/V,N,C			false
SBC H	5	98+4	1	A,H	C			A	S,Z,H,P/V,N,C			false
SBC L	5	98+5	1	A,L	C			A	S,Z,H,P/V,N,C			false
SBC n	8	DE n	2	A	C			A	S,Z,H,P/V,N,C			false
SUB A, (HL)	8	96	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
SUB A, A	5	90+7	1					A	S,Z,H,P/V,N,C			false
SUB A, B	5	90+0	1	A,B				A	S,Z,H,P/V,N,C			false
SUB A, C	5	90+1	1	A,C				A	S,Z,H,P/V,N,C			false
SUB A, D	5	90+2	1	A,D				A	S,Z,H,P/V,N,C			false
SUB A, E	5	90+3	1	A,E				A	S,Z,H,P/V,N,C			false
SUB A, H	5	90+4	1	A,H				A	S,Z,H,P/V,N,C			false
SUB A, L	5	90+5	1	A,L				A	S,Z,H,P/V,N,C			false
SUB A, (IX+o)	21	DD 96 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
SUB A, (IY+o)	21	FD 96 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
SUB A, n	8	D6 n	2	A				A	S,Z,H,P/V,N,C			false
EX AF,AF	5	8	1	AF				AF				false
SBC (IX+o)	21	DD 9E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			false
SBC (IY+o)	21	FD 9E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			false
CP A, (HL)	8	BE	1	A,HL			HL		S,Z,H,P/V,N,C			false
CP A, A	5	B8+7	1						S,Z,H,P/V,N,C			false
CP A, B	5	B8+0	1	A,B					S,Z,H,P/V,N,C			false
CP A, C	5	B8+1	1	A,C					S,Z,H,P/V,N,C			false
CP A, D	5	B8+2	1	A,D					S,Z,H,P/V,N,C			false
CP A, E	5	B8+3	1	A,E					S,Z,H,P/V,N,C			false
CP A, H	5	B8+4	1	A,H					S,Z,H,P/V,N,C			false
CP A, L	5	B8+5	1	A,L					S,Z,H,P/V,N,C			false
XOR A, (HL)	8	AE	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
XOR A, A	5	A8+7	1					A	S,Z,H,P/V,N,C			false
XOR A, B	5	A8+0	1	A,B				A	S,Z,H,P/V,N,C			false
XOR A, C	5	A8+1	1	A,C				A	S,Z,H,P/V,N,C			false
XOR A, D	5	A8+2	1	A,D				A	S,Z,H,P/V,N,C			false
XOR A, E	5	A8+3	1	A,E				A	S,Z,H,P/V,N,C			false
XOR A, H	5	A8+4	1	A,H				A	S,Z,H,P/V,N,C			false
XOR A, L	5	A8+5	1	A,L				A	S,Z,H,P/V,N,C			false
XOR A, n	8	EE n	2	A				A	S,Z,H,P/V,N,C			false
XOR A, (IX+o)	21	DD AE o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
XOR A, (IY+o)	21	FD AE o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
CP A, n	8	FE n	2	A					S,Z,H,P/V,N,C			false
CP A, (IX+o)	21	DD BE o	3	A,IX			IX+o		S,Z,H,P/V,N,C			false
CP A, (IY+o)	21	FD BE o	3	A,IY			IY+o		S,Z,H,P/V,N,C			false
SLL (HL)	15	CB 26	2	HL			HL		S,Z,H,P/V,N,C		HL	false
SLL r	8	CB 20+r	2	r				r	S,Z,H,P/V,N,C			false
SLL (IX+o)	23	DD CB o 26	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	false
SLL (IY+o)	23	FD CB o 26	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	false
SL1 (HL)	15	CB 26	2	HL			HL		S,Z,H,P/V,N,C		HL	false
SL1 r	8	CB 20+r	2	r				r	S,Z,H,P/V,N,C			false
SL1 (IX+o)	23	DD CB o 26	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	false
SL1 (IY+o)	23	FD CB o 26	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	false
IN A,n	12	DB n	2			n		A	S,Z,N			false
