; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was optained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf (for the Amstrad CPC timings)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)	
; - out (c),r instructions in the Amstrad CPC actually also depend on "B", as ports are 16 addresses. So, even if they are written as "out (c),r", in reality the instruction is "out (bc),r"
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing Amstrad CPC	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
SUB (IX+o)	5	DD 96 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
SUB (IY+o)	5	FD 96 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
XOR (IX+o)	5	DD AE o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
XOR (IY+o)	5	FD AE o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
BIT b,(IX+o)	6	DD CB o 46+8*b	4	IX			IX+o		S,Z,H,P/V,N			true
BIT b,(IY+o)	6	FD CB o 46+8*b	4	IY			IY+o		S,Z,H,P/V,N			true
LD (IX+o),n	6	DD 36 o n	4	IX							IX+o	true
LD (IY+o),n	6	FD 36 o n	4	IY							IY+o	true
LD (nn),BC	6	ED 43 nn nn	4	BC							[nn:nn+1]	true
LD (nn),DE	6	ED 53 nn nn	4	DE							[nn:nn+1]	true
LD (nn),IX	6	DD 22 nn nn	4	IX							[nn:nn+1]	true
LD (nn),IY	6	FD 22 nn nn	4	IY							[nn:nn+1]	true
LD (nn),SP	6	ED 73 nn nn	4	SP							[nn:nn+1]	true
LD BC,(nn)	6	ED 4B nn nn	4				[nn:nn+1]	BC				true
LD DE,(nn)	6	ED 5B nn nn	4				[nn:nn+1]	DE				true
LD IX,(nn)	6	DD 2A nn nn	4				[nn:nn+1]	IX				true
LD IX,nn	4	DD 21 nn nn	4					IX				true
LD IY,(nn)	6	FD 2A nn nn	4				[nn:nn+1]	IY				true
LD IY,nn	4	FD 21 nn nn	4					IY				true
LD SP,(nn)	6	ED 7B nn nn	4				[nn:nn+1]	SP				true
RES b,(IX+o)	7	DD CB o 86+8*b	4	IX			IX+o				IX+o	true
RES b,(IY+o)	7	FD CB o 86+8*b	4	IY			IY+o				IY+o	true
RL (IX+o)	7	DD CB o 16	4	IX	C		IX+o		S,Z,H,P/V,N,C		IX+o	true
RL (IY+o)	7	FD CB o 16	4	IY	C		IY+o		S,Z,H,P/V,N,C		IY+o	true
RLC (IX+o)	7	DD CB o 06	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
RLC (IY+o)	7	FD CB o 06	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
RR (IX+o)	7	DD CB o 1E	4	IX	C		IX+o		S,Z,H,P/V,N,C		IX+o	true
RR (IY+o)	7	FD CB o 1E	4	IY	C		IY+o		S,Z,H,P/V,N,C		IY+o	true
RRC (IX+o)	7	DD CB o 0E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
RRC (IY+o)	7	FD CB o 0E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SET b,(IX+o)	7	DD CB o C6+8*b	4	IX			IX+o				IX+o	true
SET b,(IY+o)	7	FD CB o C6+8*b	4	IY			IY+o				IY+o	true
SLA (IX+o)	7	DD CB o 26	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLA (IY+o)	7	FD CB o 26	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SLI (IX+o)	7	DD CB o 36	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLI (IY+o)	7	FD CB o 36	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SRA (IX+o)	7	DD CB o 2E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SRA (IY+o)	7	FD CB o 2E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SRL (IX+o)	7	DD CB o 3E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SRL (IY+o)	7	FD CB o 3E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
; Unofficial alternative way to write some instructions that some assemblers support:
ADC (HL)	2	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			false
ADC r	1	88+r	1	A,r	C			A	S,Z,H,P/V,N,C			false
ADC n	2	CE n	2	A	C			A	S,Z,H,P/V,N,C			false
ADC (IX+o)	5	DD 8E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			false
ADC (IY+o)	5	FD 8E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			false
ADD r	1	80+r	1	A,r				A	S,Z,H,P/V,N,C			false
ADD (HL)	2	86	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
ADD IXp	2	DD 80+p	2	A,IXp				A	S,Z,H,P/V,N,C			false
ADD IYq	2	FD 80+q	2	A,IYq				A	S,Z,H,P/V,N,C			false
ADD n	2	C6 n	2	A				A	S,Z,H,P/V,N,C			false
ADD (IX+o)	5	DD 86 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
ADD (IY+o)	5	FD 86 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
AND A, n	2	E6 n	2	A				A	S,Z,H,P/V,N,C			false
AND A, (IX+o)	5	DD A6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
AND A, (IY+o)	5	FD A6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
AND A, (HL)	2	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
AND A, r	1	A0+r	1	A,r				A	S,Z,H,P/V,N,C			false
EX HL,DE	1	EB	1	DE,HL				DE,HL				false
OUT n,A	4	D3 n	2	A					S,Z,N	n		false
OR A, (IX+o)	5	DD B6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
OR A, (IY+o)	5	FD B6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
OR A, (HL)	2	B6	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
OR A, r	1	B0+r	1	A,r				A	S,Z,H,P/V,N,C			false
OR A, n	2	F6 n	2	A				A	S,Z,H,P/V,N,C			false
SBC (HL)	2	9E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			false
SBC A	1	98+7	1		C			A	S,Z,H,P/V,N,C			false
SBC B	1	98+0	1	A,B	C			A	S,Z,H,P/V,N,C			false
SBC C	1	98+1	1	A,C	C			A	S,Z,H,P/V,N,C			false
SBC D	1	98+2	1	A,D	C			A	S,Z,H,P/V,N,C			false
SBC E	1	98+3	1	A,E	C			A	S,Z,H,P/V,N,C			false
SBC H	1	98+4	1	A,H	C			A	S,Z,H,P/V,N,C			false
SBC L	1	98+5	1	A,L	C			A	S,Z,H,P/V,N,C			false
SBC n	2	DE n	2	A	C			A	S,Z,H,P/V,N,C			false
SUB A, (HL)	2	96	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
SUB A, A	1	90+7	1					A	S,Z,H,P/V,N,C			false
SUB A, B	1	90+0	1	A,B				A	S,Z,H,P/V,N,C			false
SUB A, C	1	90+1	1	A,C				A	S,Z,H,P/V,N,C			false
SUB A, D	1	90+2	1	A,D				A	S,Z,H,P/V,N,C			false
SUB A, E	1	90+3	1	A,E				A	S,Z,H,P/V,N,C			false
SUB A, H	1	90+4	1	A,H				A	S,Z,H,P/V,N,C			false
SUB A, L	1	90+5	1	A,L				A	S,Z,H,P/V,N,C			false
SUB A, (IX+o)	5	DD 96 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
SUB A, (IY+o)	5	FD 96 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
SUB A, n	2	D6 n	2	A				A	S,Z,H,P/V,N,C			false
EX AF,AF	1	8	1	AF				AF				false
SBC (IX+o)	5	DD 9E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			false
SBC (IY+o)	5	FD 9E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			false
CP A, (HL)	2	BE	1	A,HL			HL		S,Z,H,P/V,N,C			false
CP A, A	1	B8+7	1						S,Z,H,P/V,N,C			false
CP A, B	1	B8+0	1	A,B					S,Z,H,P/V,N,C			false
CP A, C	1	B8+1	1	A,C					S,Z,H,P/V,N,C			false
CP A, D	1	B8+2	1	A,D					S,Z,H,P/V,N,C			false
CP A, E	1	B8+3	1	A,E					S,Z,H,P/V,N,C			false
CP A, H	1	B8+4	1	A,H					S,Z,H,P/V,N,C			false
CP A, L	1	B8+5	1	A,L					S,Z,H,P/V,N,C			false
XOR A, (HL)	2	AE	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
XOR A, A	1	A8+7	1					A	S,Z,H,P/V,N,C			false
XOR A, B	1	A8+0	1	A,B				A	S,Z,H,P/V,N,C			false
XOR A, C	1	A8+1	1	A,C				A	S,Z,H,P/V,N,C			false
XOR A, D	1	A8+2	1	A,D				A	S,Z,H,P/V,N,C			false
XOR A, E	1	A8+3	1	A,E				A	S,Z,H,P/V,N,C			false
XOR A, H	1	A8+4	1	A,H				A	S,Z,H,P/V,N,C			false
XOR A, L	1	A8+5	1	A,L				A	S,Z,H,P/V,N,C			false
XOR A, n	2	EE n	2	A				A	S,Z,H,P/V,N,C			false
XOR A, (IX+o)	5	DD AE o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
XOR A, (IY+o)	5	FD AE o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
CP A, n	2	FE n	2	A					S,Z,H,P/V,N,C			false
CP A, (IX+o)	5	DD BE o	3	A,IX			IX+o		S,Z,H,P/V,N,C			false
CP A, (IY+o)	5	FD BE o	3	A,IY			IY+o		S,Z,H,P/V,N,C			false
