; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)												
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
RL (IX+o)	19	DD CB o 16	4	IX	C		IX+o		S,Z,H,P/V,N,C		IX+o	true
RL (IY+o)	19	FD CB o 16	4	IY	C		IY+o		S,Z,H,P/V,N,C		IY+o	true
RLC (IX+o)	19	DD CB o 06	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
RLC (IY+o)	19	FD CB o 06	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
RR (IX+o)	19	DD CB o 1E	4	IX	C		IX+o		S,Z,H,P/V,N,C		IX+o	true
RR (IY+o)	19	FD CB o 1E	4	IY	C		IY+o		S,Z,H,P/V,N,C		IY+o	true
RRC (IX+o)	19	DD CB o 0E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
RRC (IY+o)	19	FD CB o 0E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SET b,(IX+o)	19	DD CB o C6+8*b	4	IX			IX+o				IX+o	true
SET b,(IY+o)	19	FD CB o C6+8*b	4	IY			IY+o				IY+o	true
SLA (IX+o)	19	DD CB o 26	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLA (IY+o)	19	FD CB o 26	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SLI (IX+o)	23	DD CB o 36	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SLI (IY+o)	23	FD CB o 36	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SRA (IX+o)	19	DD CB o 2E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SRA (IY+o)	19	FD CB o 2E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
SRL (IX+o)	19	DD CB o 3E	4	IX			IX+o		S,Z,H,P/V,N,C		IX+o	true
SRL (IY+o)	19	FD CB o 3E	4	IY			IY+o		S,Z,H,P/V,N,C		IY+o	true
; Unofficial alternative way to write some instructions that some assemblers support:
ADC (HL)	7	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			false
ADC r	4	88+r	1	A,r	C			A	S,Z,H,P/V,N,C			false
ADC n	7	CE n	2	A	C			A	S,Z,H,P/V,N,C			false
ADC (IX+o)	19	DD 8E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			false
ADC (IY+o)	19	FD 8E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			false
ADD r	4	80+r	1	A,r				A	S,Z,H,P/V,N,C			false
ADD (HL)	7	86	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
ADD IXp	8	DD 80+p	2	A,IXp				A	S,Z,H,P/V,N,C			false
ADD IYq	8	FD 80+q	2	A,IYq				A	S,Z,H,P/V,N,C			false
ADD n	7	C6 n	2	A				A	S,Z,H,P/V,N,C			false
ADD (IX+o)	19	DD 86 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
ADD (IY+o)	19	FD 86 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
AND A, n	7	E6 n	2	A				A	S,Z,H,P/V,N,C			false
AND A, (IX+o)	19	DD A6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
AND A, (IY+o)	19	FD A6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
AND A, (HL)	7	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
AND A, r	4	A0+r	1	A,r				A	S,Z,H,P/V,N,C			false
EX HL,DE	4	EB	1	DE,HL				DE,HL				false
OUT n,A	11	D3 n	2	A					S,Z,N	n		false
OR A, (IX+o)	19	DD B6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
OR A, (IY+o)	19	FD B6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
OR A, (HL)	7	B6	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
OR A, r	4	B0+r	1	A,r				A	S,Z,H,P/V,N,C			false
OR A, n	7	F6 n	2	A				A	S,Z,H,P/V,N,C			false
SBC (HL)	7	9E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			false
SBC A	4	98+7	1		C			A	S,Z,H,P/V,N,C			false
SBC B	4	98+0	1	A,B	C			A	S,Z,H,P/V,N,C			false
SBC C	4	98+1	1	A,C	C			A	S,Z,H,P/V,N,C			false
SBC D	4	98+2	1	A,D	C			A	S,Z,H,P/V,N,C			false
SBC E	4	98+3	1	A,E	C			A	S,Z,H,P/V,N,C			false
SBC H	4	98+4	1	A,H	C			A	S,Z,H,P/V,N,C			false
SBC L	4	98+5	1	A,L	C			A	S,Z,H,P/V,N,C			false
SBC n	7	DE n	2	A	C			A	S,Z,H,P/V,N,C			false
SUB A, (HL)	7	96	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
SUB A, A	4	90+7	1					A	S,Z,H,P/V,N,C			false
SUB A, B	4	90+0	1	A,B				A	S,Z,H,P/V,N,C			false
SUB A, C	4	90+1	1	A,C				A	S,Z,H,P/V,N,C			false
SUB A, D	4	90+2	1	A,D				A	S,Z,H,P/V,N,C			false
SUB A, E	4	90+3	1	A,E				A	S,Z,H,P/V,N,C			false
SUB A, H	4	90+4	1	A,H				A	S,Z,H,P/V,N,C			false
SUB A, L	4	90+5	1	A,L				A	S,Z,H,P/V,N,C			false
SUB A, (IX+o)	19	DD 96 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
SUB A, (IY+o)	19	FD 96 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
SUB A, n	7	D6 n	2	A				A	S,Z,H,P/V,N,C			false
EX AF,AF	4	8	1	AF				AF				false
SBC (IX+o)	19	DD 9E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			false
SBC (IY+o)	19	FD 9E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			false
CP A, (HL)	7	BE	1	A,HL			HL		S,Z,H,P/V,N,C			false
CP A, A	4	B8+7	1						S,Z,H,P/V,N,C			false
CP A, B	4	B8+0	1	A,B					S,Z,H,P/V,N,C			false
CP A, C	4	B8+1	1	A,C					S,Z,H,P/V,N,C			false
CP A, D	4	B8+2	1	A,D					S,Z,H,P/V,N,C			false
CP A, E	4	B8+3	1	A,E					S,Z,H,P/V,N,C			false
CP A, H	4	B8+4	1	A,H					S,Z,H,P/V,N,C			false
CP A, L	4	B8+5	1	A,L					S,Z,H,P/V,N,C			false
XOR A, (HL)	7	AE	1	A,HL			HL	A	S,Z,H,P/V,N,C			false
XOR A, A	4	A8+7	1					A	S,Z,H,P/V,N,C			false
XOR A, B	4	A8+0	1	A,B				A	S,Z,H,P/V,N,C			false
XOR A, C	4	A8+1	1	A,C				A	S,Z,H,P/V,N,C			false
XOR A, D	4	A8+2	1	A,D				A	S,Z,H,P/V,N,C			false
XOR A, E	4	A8+3	1	A,E				A	S,Z,H,P/V,N,C			false
XOR A, H	4	A8+4	1	A,H				A	S,Z,H,P/V,N,C			false
XOR A, L	4	A8+5	1	A,L				A	S,Z,H,P/V,N,C			false
XOR A, n	7	EE n	2	A				A	S,Z,H,P/V,N,C			false
XOR A, (IX+o)	19	DD AE o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			false
XOR A, (IY+o)	19	FD AE o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			false
CP A, n	7	FE n	2	A					S,Z,H,P/V,N,C			false
CP A, (IX+o)	19	DD BE o	3	A,IX			IX+o		S,Z,H,P/V,N,C			false
CP A, (IY+o)	19	FD BE o	3	A,IY			IY+o		S,Z,H,P/V,N,C			false
; Extended z180 instructions:
IN0 r,(n)	12	ED 00+8*r n	3			n		r	S,Z,H,P/V,N			true
MULT BC	17	ED 4C	2	BC				BC				true
MULT DE	17	ED 5C	2	DE				DE				true
MULT HL	17	ED 6C	2	HL				HL				true
MULT SP	17	ED 7C	2	SP				SP				true
MLT BC	17	ED 4C	2	BC				BC				true
MLT DE	17	ED 5C	2	DE				DE				true
MLT HL	17	ED 6C	2	HL				HL				true
MLT SP	17	ED 7C	2	SP				SP				true
OUT0 (n),r	13	ED 01+8*r n	3	r					S,Z,H,P/V,N	n		true
OTIM	14	ED 83	2	HL,BC			HL	HL,BC	S,Z,H,P/V,N,C	C		true
OTDM	14	ED 8B	2	HL,BC			HL	HL,BC	S,Z,H,P/V,N,C	C		true
OTIMR	16/14	ED 93	2	HL,BC			[HL:HL+B]	HL,BC	S,Z,H,P/V,N,C	[C:C+B]		true
OTDMR	16/14	ED 9B	2	HL,BC			[HL:HL-B]	HL,BC	S,Z,H,P/V,N,C	[C:C-B]		true
SLP	8	ED 76	2									true
TST r	7	ED 04+8*r	2	r					S,Z,H,P/V,N,C			true
TST n	9	ED 64 n	3						S,Z,H,P/V,N,C			true
TSTIO n	12	ED 74 n	3	C		n			S,Z,H,P/V,N,C			true
IN A,n	9	DB n	2	A		n		A	S,Z,N			false
