; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)												
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
ADC A,(HL)	6	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			true
ADC A,r	4	88+r	1	A,r	C			A	S,Z,H,P/V,N,C			true
ADD A,(HL)	6	86	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
ADD A,r	4	80+r	1	A,r				A	S,Z,H,P/V,N,C			true
ADD HL,BC	7	9	1	HL,BC				HL	H,N,C			true
ADD HL,DE	7	19	1	HL,DE				HL	H,N,C			true
ADD HL,HL	7	29	1	HL				HL	H,N,C			true
ADD HL,SP	7	39	1	HL,SP				HL	H,N,C			true
AND (HL)	6	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
AND r	4	A0+r	1	A,r				A	S,Z,H,P/V,N,C			true
CCF	3	3F	1		C				C,N,H			true
CP (HL)	6	BE	1	A,HL			HL		S,Z,H,P/V,N,C			true
CP A	4	B8+7	1						S,Z,H,P/V,N,C			true
CP B	4	B8+0	1	A,B					S,Z,H,P/V,N,C			true
CP C	4	B8+1	1	A,C					S,Z,H,P/V,N,C			true
CP D	4	B8+2	1	A,D					S,Z,H,P/V,N,C			true
CP E	4	B8+3	1	A,E					S,Z,H,P/V,N,C			true
CP H	4	B8+4	1	A,H					S,Z,H,P/V,N,C			true
CP L	4	B8+5	1	A,L					S,Z,H,P/V,N,C			true
CPL	3	2F	1	A				A	H,N			true
DAA	4	27	1	A	H,N,C				S,Z,H,P/V,C			true
DEC (HL)	10	35	1	HL			HL		S,Z,H,P/V,N		HL	true
DEC A	4	3D	1	A				A	S,Z,H,P/V,N			true
DEC B	4	5	1	B				B	S,Z,H,P/V,N			true
DEC BC	4	0B	1	BC				BC				true
DEC C	4	0D	1	C				C	S,Z,H,P/V,N			true
DEC D	4	15	1	D				D	S,Z,H,P/V,N			true
DEC DE	6	1B	1	DE				DE				true
DEC E	4	1D	1	E				E	S,Z,H,P/V,N			true
DEC H	4	25	1	H				H	S,Z,H,P/V,N			true
DEC HL	4	2B	1	HL				HL				true
DEC L	4	2D	1	L				L	S,Z,H,P/V,N			true
DEC SP	4	3B	1	SP				SP				true
DI	3	F3	1									true
EI	3	FB	1									true
EX (SP),HL	16	E3	1	HL,SP			[SP:SP+1]	HL			[SP:SP+1]	true
EX AF,AF'	4	8	1	AF				AF				true
EX DE,HL	3	EB	1	DE,HL				DE,HL				true
EXX	4	D9	1	BC,DE,HL				BC,DE,HL				true
HALT	3	76	1									true
INC (HL)	10	34	1	HL			HL		S,Z,H,P/V,N		HL	true
INC A	4	3C	1	A				A	S,Z,H,P/V,N			true
