; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)												
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
SBC A,(HL)	7	9E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			true
SBC A,A	4	98+7	1		C			A	S,Z,H,P/V,N,C			true
SBC A,B	4	98+0	1	A,B	C			A	S,Z,H,P/V,N,C			true
SBC A,C	4	98+1	1	A,C	C			A	S,Z,H,P/V,N,C			true
SBC A,D	4	98+2	1	A,D	C			A	S,Z,H,P/V,N,C			true
SBC A,E	4	98+3	1	A,E	C			A	S,Z,H,P/V,N,C			true
SBC A,H	4	98+4	1	A,H	C			A	S,Z,H,P/V,N,C			true
SBC A,L	4	98+5	1	A,L	C			A	S,Z,H,P/V,N,C			true
SCF	4	37	1						H,N,C			true
SUB (HL)	7	96	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
SUB A	4	90+7	1					A	S,Z,H,P/V,N,C			true
SUB B	4	90+0	1	A,B				A	S,Z,H,P/V,N,C			true
SUB C	4	90+1	1	A,C				A	S,Z,H,P/V,N,C			true
SUB D	4	90+2	1	A,D				A	S,Z,H,P/V,N,C			true
SUB E	4	90+3	1	A,E				A	S,Z,H,P/V,N,C			true
SUB H	4	90+4	1	A,H				A	S,Z,H,P/V,N,C			true
SUB L	4	90+5	1	A,L				A	S,Z,H,P/V,N,C			true
XOR (HL)	7	AE	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
XOR A	4	A8+7	1					A	S,Z,H,P/V,N,C			true
XOR B	4	A8+0	1	A,B				A	S,Z,H,P/V,N,C			true
XOR C	4	A8+1	1	A,C				A	S,Z,H,P/V,N,C			true
XOR D	4	A8+2	1	A,D				A	S,Z,H,P/V,N,C			true
XOR E	4	A8+3	1	A,E				A	S,Z,H,P/V,N,C			true
XOR H	4	A8+4	1	A,H				A	S,Z,H,P/V,N,C			true
XOR L	4	A8+5	1	A,L				A	S,Z,H,P/V,N,C			true
ADC A,IXp	8	DD 88+p	2	A,IXp	C			A	S,Z,H,P/V,N,C			true
ADC A,IYq	8	FD 88+q	2	A,IYq	C			A	S,Z,H,P/V,N,C			true
ADC A,n	7	CE n	2	A	C			A	S,Z,H,P/V,N,C			true
ADC HL,BC	15	ED 4A	2	HL,BC	C			HL	S,Z,H,P/V,N,C			true
ADC HL,DE	15	ED 5A	2	HL,DE	C			HL	S,Z,H,P/V,N,C			true
ADC HL,HL	15	ED 6A	2	HL	C			HL	S,Z,H,P/V,N,C			true
ADC HL,SP	15	ED 7A	2	HL,SP	C			HL	S,Z,H,P/V,N,C			true
ADD A,IXp	8	DD 80+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
ADD A,IYq	8	FD 80+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
ADD A,n	7	C6 n	2	A				A	S,Z,H,P/V,N,C			true
ADD IX,BC	15	DD 09	2	IX,BC				IX	H,N,C			true
ADD IX,DE	15	DD 19	2	IX,DE				IX	H,N,C			true
ADD IX,IX	15	DD 29	2	IX				IX	H,N,C			true
ADD IX,SP	15	DD 39	2	IX,SP				IX	H,N,C			true
ADD IY,BC	15	FD 09	2	IY,BC				IY	H,N,C			true
ADD IY,DE	15	FD 19	2	IY,DE				IY	H,N,C			true
ADD IY,IY	15	FD 29	2	IY				IY	H,N,C			true
ADD IY,SP	15	FD 39	2	IY,SP				IY	H,N,C			true
AND IXp	8	DD A0+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
AND IYq	8	FD A0+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
AND n	7	E6 n	2	A				A	S,Z,H,P/V,N,C			true
BIT b,(HL)	12	CB 46+8*b	2	HL			HL		S,Z,H,P/V,N			true
BIT b,r	8	CB 40+8*b+r	2	r					S,Z,H,P/V,N			true
CP IXp	8	DD B8+p	2	A,IXp					S,Z,H,P/V,N,C			true
CP IYq	8	FD B8+q	2	A,IYq					S,Z,H,P/V,N,C			true
CP n	7	FE n	2	A					S,Z,H,P/V,N,C			true
CPD	16	ED A9	2	A,HL,BC			HL	HL,BC	S,Z,H,P/V,N			true
CPDR	21/16	ED B9	2	A,HL,BC			[HL-B:HL]	HL,BC	S,Z,H,P/V,N			true
CPI	16	ED A1	2	A,HL,BC			HL	HL,BC	S,Z,H,P/V,N			true
CPIR	21/16	ED B1	2	A,HL,BC			[HL:HL+B]	HL,BC	S,Z,H,P/V,N			true
DEC IX	10	DD 2B	2	IX				IX				true
DEC IXp	8	DD 05+8*p	2	IXp				IXp	S,Z,H,P/V,N			true
DEC IY	10	FD 2B	2	IY				IY				true
DEC IYq	8	FD 05+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
DJNZ o	13/8	10 o	2	B				B,PC				true
EX (SP),IX	23	DD E3	2	HL,IX			[SP:SP+1]	IX			[SP:SP+1]	true
EX (SP),IY	23	FD E3	2	HL,IY			[SP:SP+1]	IY			[SP:SP+1]	true
IM 0	8	ED 46	2									true
IM 1	8	ED 56	2									true
IM 2	8	ED 5E	2									true
IN A,(C)	12	ED 78	2	BC		C		A	S,Z,N			true
